               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.020715,            0.030589,           0.0022142,             0.99278,             0.99773,             0.99323,              0.7454,            0.016685,            0.023715,           0.0013262,            0.003169,            0.003169,            0.003169
                  71,            0.020895,            0.031209,            0.002149,             0.99376,              0.9958,              0.9933,             0.73319,            0.017396,             0.02437,           0.0012715,             0.00307,             0.00307,             0.00307
                  72,            0.020794,            0.031133,           0.0020343,             0.99302,             0.99602,             0.99331,             0.73284,            0.017665,            0.024347,           0.0012691,            0.002971,            0.002971,            0.002971
                  73,            0.020568,            0.030825,           0.0021275,             0.99146,             0.99445,             0.98931,             0.74246,             0.01648,            0.023655,           0.0012109,            0.002872,            0.002872,            0.002872
                  74,            0.020606,            0.030628,            0.002062,             0.99218,              0.9946,             0.99328,             0.74539,            0.016466,            0.024156,           0.0012314,            0.002773,            0.002773,            0.002773
                  75,            0.020457,            0.030385,           0.0021305,             0.99134,             0.99296,             0.98937,             0.74934,            0.016829,            0.024067,           0.0012133,            0.002674,            0.002674,            0.002674
                  76,            0.020373,            0.030666,           0.0018802,             0.99142,             0.99406,             0.98992,             0.74336,            0.016537,             0.02366,           0.0011796,            0.002575,            0.002575,            0.002575
                  77,            0.020093,            0.030545,           0.0019595,             0.99265,             0.99293,             0.98916,             0.73938,            0.016855,            0.023559,           0.0011158,            0.002476,            0.002476,            0.002476
                  78,            0.019969,            0.030621,           0.0018901,             0.99182,             0.99395,             0.98998,             0.73739,            0.017235,            0.023731,           0.0010961,            0.002377,            0.002377,            0.002377
                  79,            0.019616,            0.030118,           0.0018137,             0.99097,             0.99321,             0.99051,             0.74974,              0.0167,            0.023753,           0.0010696,            0.002278,            0.002278,            0.002278
                  80,            0.019707,            0.029904,           0.0018747,             0.99006,             0.99342,             0.99015,             0.73918,            0.017055,            0.024275,           0.0011001,            0.002179,            0.002179,            0.002179
                  81,            0.019418,            0.029555,            0.001677,             0.99143,             0.99463,             0.99016,             0.73893,            0.017199,              0.0242,           0.0010364,             0.00208,             0.00208,             0.00208
                  82,            0.019219,            0.029815,           0.0017685,             0.99161,             0.99545,             0.98954,             0.74479,            0.016576,            0.023652,           0.0010194,            0.001981,            0.001981,            0.001981
                  83,            0.019246,            0.029889,           0.0017384,             0.99208,             0.99536,             0.98919,             0.73828,            0.017327,            0.023516,           0.0009792,            0.001882,            0.001882,            0.001882
                  84,            0.019092,            0.029529,           0.0016105,             0.99193,             0.99453,             0.98941,             0.75337,            0.016131,             0.02377,          0.00095215,            0.001783,            0.001783,            0.001783
                  85,            0.018957,             0.02934,             0.00171,             0.99412,             0.99721,             0.99331,             0.74539,            0.016475,            0.023442,          0.00093504,            0.001684,            0.001684,            0.001684
                  86,            0.018816,             0.02972,            0.001693,             0.99356,             0.99675,             0.99331,             0.74629,            0.016292,            0.023421,          0.00092624,            0.001585,            0.001585,            0.001585
                  87,            0.018725,            0.029607,           0.0017687,             0.99377,              0.9965,             0.99322,             0.74878,            0.016553,             0.02317,          0.00094295,            0.001486,            0.001486,            0.001486
                  88,            0.018632,            0.029542,           0.0016656,             0.99158,             0.99482,             0.98924,             0.75446,            0.015844,            0.022838,          0.00092119,            0.001387,            0.001387,            0.001387
                  89,            0.018678,            0.029005,           0.0016382,              0.9922,             0.99428,                0.99,             0.74444,            0.016458,            0.023604,          0.00089044,            0.001288,            0.001288,            0.001288
                  90,             0.01865,            0.029836,           0.0017066,             0.99169,             0.99416,              0.9901,             0.73852,            0.016693,            0.023449,           0.0008745,            0.001189,            0.001189,            0.001189
                  91,            0.018503,             0.03028,           0.0015788,             0.99168,             0.99485,              0.9901,             0.75277,            0.015865,            0.023152,          0.00086491,             0.00109,             0.00109,             0.00109
                  92,            0.018401,            0.028986,           0.0015435,             0.99099,             0.99526,             0.99024,             0.75271,            0.016104,             0.02315,          0.00084847,            0.000991,            0.000991,            0.000991
                  93,            0.018247,            0.029473,           0.0014914,             0.99141,             0.99474,             0.99012,             0.74701,             0.01656,            0.023529,          0.00084467,            0.000892,            0.000892,            0.000892
                  94,            0.018099,              0.0286,           0.0015425,             0.99146,             0.99473,             0.99023,             0.74301,            0.016639,            0.023118,          0.00082586,            0.000793,            0.000793,            0.000793
                  95,            0.018098,            0.028808,           0.0014805,             0.99096,             0.99455,             0.99021,             0.75165,            0.016059,            0.023017,          0.00081028,            0.000694,            0.000694,            0.000694
                  96,            0.018189,            0.028748,           0.0015388,             0.99096,             0.99509,             0.99036,             0.75233,            0.016167,             0.02308,          0.00080147,            0.000595,            0.000595,            0.000595
                  97,            0.018099,             0.02901,           0.0015475,             0.99123,             0.99457,             0.99024,             0.75388,             0.01621,            0.022924,          0.00079736,            0.000496,            0.000496,            0.000496
                  98,            0.017934,             0.02912,           0.0015478,             0.99147,             0.99459,             0.99028,              0.7537,            0.016216,            0.023059,          0.00079435,            0.000397,            0.000397,            0.000397
                  99,            0.017915,            0.029114,           0.0015089,             0.99098,             0.99505,             0.99012,             0.74953,            0.016129,            0.022968,          0.00079149,            0.000298,            0.000298,            0.000298
